               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.019542,           0.0077808,                   0,              0.9134,             0.79521,             0.87631,             0.69336,            0.015564,           0.0048445,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.018956,           0.0075776,                   0,             0.93899,             0.83007,             0.89444,             0.70305,            0.015887,           0.0049273,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.019049,            0.007756,                   0,             0.92739,             0.81264,             0.87686,             0.69613,            0.015356,           0.0053752,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.018914,           0.0075317,                   0,             0.93018,             0.80174,             0.88955,             0.69022,            0.015857,           0.0048464,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.018652,           0.0075903,                   0,             0.89397,             0.84532,             0.89316,             0.71259,            0.015424,           0.0047746,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.019021,           0.0075837,                   0,             0.91533,             0.83224,               0.892,             0.70768,            0.015118,           0.0049389,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.017907,           0.0072907,                   0,             0.93069,             0.78431,             0.87251,             0.69297,            0.015149,           0.0050493,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.018859,           0.0070532,                   0,             0.91303,             0.81046,             0.89222,             0.71019,            0.014996,           0.0051617,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.017813,           0.0072451,                   0,             0.92716,             0.83196,             0.89539,             0.70718,            0.015473,           0.0048581,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.017729,           0.0069527,                   0,              0.9575,             0.82135,             0.90678,             0.70692,            0.015361,            0.005102,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.016979,           0.0071555,                   0,             0.92872,             0.82325,             0.89008,             0.71041,            0.014705,           0.0049278,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.017073,           0.0073343,                   0,             0.94712,             0.80828,             0.89208,             0.71479,            0.015129,           0.0050537,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.016579,           0.0071558,                   0,             0.95041,             0.83508,             0.89416,             0.71294,             0.01525,            0.004923,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.016355,           0.0065381,                   0,             0.92927,             0.83224,             0.90304,             0.71702,            0.014919,           0.0048075,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.017293,              0.0072,                   0,             0.91512,             0.81264,             0.88195,             0.70402,            0.015163,           0.0051082,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.016694,           0.0072246,                   0,             0.90493,             0.85026,             0.90492,             0.73176,            0.014274,           0.0045308,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.016996,           0.0073045,                   0,             0.90573,             0.84749,             0.89757,             0.71047,            0.014928,           0.0048495,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.017055,           0.0067094,                   0,              0.9162,             0.84096,             0.90054,             0.71029,            0.014813,           0.0048309,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.016567,           0.0069504,                   0,             0.93064,             0.82135,              0.8911,              0.7172,            0.015048,           0.0050644,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.015726,           0.0067003,                   0,             0.96434,             0.80392,             0.88509,             0.70762,            0.014561,           0.0050891,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.016889,           0.0070279,                   0,             0.93461,             0.77124,             0.86455,             0.67497,            0.015334,           0.0053195,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.015564,            0.006685,                   0,             0.95615,             0.83224,             0.91195,             0.73256,            0.014782,           0.0047891,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.015114,           0.0065453,                   0,             0.90996,             0.83663,             0.89466,             0.70958,             0.01511,           0.0050372,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.015203,           0.0064393,                   0,             0.92736,             0.83442,             0.89836,              0.7233,            0.014994,           0.0050438,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.014676,           0.0060032,                   0,             0.93214,             0.83788,              0.9108,             0.74108,            0.014585,           0.0047174,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.013861,           0.0054268,                   0,             0.92217,             0.85403,             0.90927,             0.74094,            0.014835,           0.0049829,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.013651,            0.005347,                   0,             0.94625,             0.80547,             0.89172,             0.71825,            0.015225,           0.0053316,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.013955,           0.0052023,                   0,             0.95824,             0.81264,             0.89835,              0.7312,            0.014873,           0.0054405,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.013153,           0.0049255,                   0,             0.94914,             0.83007,              0.9013,             0.73502,            0.015154,           0.0052072,                   0,            0.003565,            0.003565,            0.003565
                  67,             0.01473,           0.0059936,                   0,             0.90491,             0.82927,             0.88323,             0.71038,             0.01526,           0.0051665,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.014119,           0.0058429,                   0,             0.91814,             0.83078,             0.90129,             0.72831,            0.014851,           0.0051553,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.013678,           0.0058575,                   0,             0.94703,             0.82135,             0.90143,             0.73213,            0.014742,           0.0051263,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.013144,           0.0058699,                   0,             0.90558,             0.81264,             0.87403,             0.71314,            0.014539,           0.0054195,                   0,            0.003169,            0.003169,            0.003169
